"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","PC Web","3","통합 테스트 (20260708_10:05:54)","66","0","","0"
"0","PC Web","0","통합 테스트 (20260710_13:41:33)","69","0","","0"
"0","PC Web","1","통합 테스트 (20260709_09:52:01)","68","0","","0"
"0","PC Web","1","통합 테스트 (20260710_11:40:31)","68","0","","0"
"0","PC Web","0","통합 테스트 (20260713_14:20:28)","69","0","","0"
"0","PC Web","0","통합 테스트 (20260713_13:31:24)","69","0","","0"
"0","PC Web","0","통합 테스트 (20260707_10:20:04)","69","0","","0"
"0","PC Web","5","통합 테스트 (20260707_09:57:37)","64","0","","0"
"0","PC Web","58","통합 테스트 (20260710_11:06:44)","11","0","","0"
"0","PC Web","0","통합 테스트 (20260714_09:43:36)","69","0","","0"
"0","PC Web","0","통합 테스트 (20260713_09:29:41)","69","0","","0"
"0","PC Web","2","통합 테스트 (20260709_15:46:22)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260710_09:33:24)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260710_09:58:53)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260710_09:22:05)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260709_16:04:13)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260709_11:49:43)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260710_10:35:08)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260710_10:13:51)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260713_13:30:08)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260709_15:52:19)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260709_16:37:13)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260710_09:13:31)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260710_09:40:51)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260709_15:57:45)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260709_16:15:47)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260709_16:23:55)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260710_10:30:01)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260709_15:50:28)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260710_09:26:49)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260709_16:49:38)","0","0","","0"
"0","PC Web","2","통합 테스트 (20260710_10:23:01)","0","0","","0"
