"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11324","ON AIR > 현재 방송 중인 상품 정보 노출 확인","","2026-07-14","passed","2026-07-14","","","",""
"","22121","회원 정보 수정 확인","","2026-07-13","passed","2026-07-13","","","",""
"","19463","ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-13","passed","2026-07-13","","","",""
"","48920","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-07-10","passed","2026-07-10","","","",""
"","11675","편성표 > TV/TV+ 탭 > 지금 방송 중 상품 확인","","2026-07-13","passed","2026-07-13","","","",""
"","27728","GNB 메뉴별 화면 확인","","2026-07-10","passed","2026-07-10","","","",""
"","138","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-07-10","passed","2026-07-10","","","",""
"","18288","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-07-13","passed","2026-07-13","","","",""
"","898","잔액형 상품권 내역 확인","","2026-07-13","passed","2026-07-13","","","",""
"","17617","카테고리 정상 노출 및 필터 기능 확인","","2026-07-13","passed","2026-07-13","","","",""
"","257","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-07-10","passed","2026-07-10","","","",""
"","802","장바구니 확인","","2026-07-13","passed","2026-07-13","","","",""
"","5717","혜택/이벤트 > 수신동의 쿠폰팩 페이지 이동 확인","","2026-07-13","passed","2026-07-13","","","",""
"","19279","카테고리 정상 노출 및 필터 기능 확인","","2026-07-10","passed","2026-07-10","","","",""
"","1201","방송 알림 설정 확인","","2026-07-10","passed","2026-07-10","","","",""
"","19444","GNB 메뉴별 화면 확인","","2026-07-13","passed","2026-07-13","","","",""
"","1426","배송지 관리 확인","","2026-07-10","passed","2026-07-10","","","",""
"","18","상품 > 좋아요 추가 및 삭제 확인","","2026-07-10","failed","2026-07-10","","","",""
"","16374","카테고리 추천구좌 상품 및 페이지 이동 확인","","2026-07-10","passed","2026-07-10","","","",""
"","2020","취소/교환/반품 내역 확인","","2026-07-13","passed","2026-07-13","","","",""
"","12200","ON AIR > VOD 영상 재생 확인","","2026-07-13","passed","2026-07-13","","","",""
"","11858","혜택/이벤트 > 수신동의 쿠폰팩 페이지 이동 확인","","2026-07-13","passed","2026-07-13","","","",""
"","19007","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-07-14","passed","2026-07-14","","","",""
"","41859","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-07-13","passed","2026-07-13","","","",""
"","45487","상품(선택 후 뒤로가기) 추천구좌 상품 및 페이지 이동 확인","","2026-07-10","failed","2026-07-10","","","",""
"","202","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-07-13","passed","2026-07-13","","","",""
"","10381","묶음 배송 추천구좌 상품 및 페이지 이동 확인","","2026-07-14","passed","2026-07-14","","","",""
"","12593","주문 내역 확인","","2026-07-13","passed","2026-07-13","","","",""
"","750","거래 증빙 서류 신청/조회 확인","","2026-07-13","passed","2026-07-13","","","",""
"","15111","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-14","passed","2026-07-14","","","",""
"","18","상품 > 장바구니 상품 추가 확인","","2026-07-10","failed","2026-07-10","","","",""
"","20","상품 > 구매하기 주문서 페이지 이동 확인","","2026-07-10","failed","2026-07-10","","","",""
"","17551","기프티쇼 카테고리 및 필터 기능 확인","","2026-07-10","passed","2026-07-10","","","",""
"","18317","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-07-10","passed","2026-07-10","","","",""
"","20315","상품 > 선물하기 주문서 페이지 이동 확인","","2026-07-13","passed","2026-07-13","","","",""
"","54","기프티쇼 > 상품 > 좋아요 추가 및 삭제 확인","","2026-07-10","failed","2026-07-10","","","",""
"","47336","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-07-13","passed","2026-07-13","","","",""
"","758","공지 사항 확인","","2026-07-13","passed","2026-07-13","","","",""
"","890","혜택 관리 확인","","2026-07-13","passed","2026-07-13","","","",""
"","15158","혜택/이벤트 > 이달의 선물 페이지 이동 확인","","2026-07-10","passed","2026-07-10","","","",""
"","777","문의 내역 확인","","2026-07-13","passed","2026-07-13","","","",""
"","18361","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-07-13","passed","2026-07-13","","","",""
"","21082","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-10","passed","2026-07-10","","","",""
