"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14332","검색 후 상품 상세 페이지 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","8273","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","911","자주하는 질문 확인","","2026-07-06","passed","2026-07-06","","","",""
"","24058","상품 > 구매하기 주문서 페이지 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","11375","ON AIR > 현재 방송 중인 상품 정보 노출 확인","","2026-07-06","passed","2026-07-06","","","",""
"","13034","상품 > 상품평 탭 노출 확인","","2026-07-06","passed","2026-07-06","","","",""
"","840","연락처 관리 확인","","2026-07-06","passed","2026-07-06","","","",""
"","18272","기프티쇼 > 상품 > 좋아요 추가 및 삭제 확인","","2026-07-06","passed","2026-07-06","","","",""
"","815","공지 사항 확인","","2026-07-06","passed","2026-07-06","","","",""
"","29482","묶음 배송 추천구좌 상품 및 페이지 이동 확인","","2026-07-06","failed","2026-07-06","","","",""
"","980","거래 증빙 서류 신청/조회 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1523","상품평 확인","","2026-07-06","passed","2026-07-06","","","",""
"","17470","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1345","간편 로그인 연결 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1019","기프티쇼 > 상품 > 선물하기 > 기프티쇼 대표 번호로 보내기 확인","","2026-07-06","passed","2026-07-06","","","",""
"","811","잔액형 상품권 내역 확인","","2026-07-06","passed","2026-07-06","","","",""
"","728","장바구니 확인","","2026-07-06","passed","2026-07-06","","","",""
"","8210","기프티쇼 > 상품 > 상세정보 탭 노출 확인","","2026-07-06","passed","2026-07-06","","","",""
"","5140","편성표 > TV/TV+ 탭 > 지금 방송 중 상품 확인","","2026-07-06","passed","2026-07-06","","","",""
"","859","좋아요 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1033","혜택 관리 확인","","2026-07-06","passed","2026-07-06","","","",""
"","858","1:1 문의하기 확인","","2026-07-06","passed","2026-07-06","","","",""
"","737","최근 본 상품 확인","","2026-07-06","passed","2026-07-06","","","",""
"","887","방송 알림 설정 확인","","2026-07-06","passed","2026-07-06","","","",""
"","234","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-07-06","passed","2026-07-06","","","",""
"","12524","상품 > 상품문의 탭 노출 확인","","2026-07-06","passed","2026-07-06","","","",""
"","45948","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-07-06","passed","2026-07-06","","","",""
"","13467","상품 > 구매정보 탭 노출 확인","","2026-07-06","passed","2026-07-06","","","",""
"","19320","GNB 메뉴별 화면 확인","","2026-07-06","passed","2026-07-06","","","",""
"","799","기프티쇼 선물함 확인","","2026-07-06","passed","2026-07-06","","","",""
"","18363","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-06","passed","2026-07-06","","","",""
"","18870","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-07-06","passed","2026-07-06","","","",""
"","885","환불 계좌 관리 확인","","2026-07-06","passed","2026-07-06","","","",""
"","47841","일반 계정 로그인 확인","","2026-07-06","passed","2026-07-06","","","",""
